LocationDesc,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification1,income_strat,income_ordinal
South Carolina,34,29.9,38.4,1025,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,36.9,34.6,39.3,2367,"$75,000 or greater","$75,000 or greater",6
Hawaii,28.4,22.8,34.7,535,"Less than $15,000","Less than $15,000",1
Alabama,32.3,28.2,36.7,937,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,36.6,34.7,38.5,3926,"$75,000 or greater","$75,000 or greater",6
South Carolina,41.8,39.1,44.6,2275,"$75,000 or greater","$75,000 or greater",6
Florida,28,23,33.6,1283,"Less than $15,000","Less than $15,000",1
Connecticut,34.3,29.3,39.7,681,"$25,000 - $34,999","$25,000 - $34,999",3
New York,34.6,31.9,37.3,4506,"$15,000 - $24,999","$15,000 - $24,999",2
Massachusetts,36.6,34.2,39.1,2409,"$75,000 or greater","$75,000 or greater",6
Texas,39.5,36.1,42.9,2999,"$75,000 or greater","$75,000 or greater",6
Washington,33.9,29.6,38.4,865,"$25,000 - $34,999","$25,000 - $34,999",3
Florida,30.8,25.3,37,1021,"$25,000 - $34,999","$25,000 - $34,999",3
North Carolina,36.6,32,41.6,615,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,35.2,24.5,47.7,147,"Less than $15,000","Less than $15,000",1
Missouri,26.6,21.8,31.9,604,"Less than $15,000","Less than $15,000",1
Arkansas,25.7,20.3,31.9,407,"Less than $15,000","Less than $15,000",1
Nevada,35.3,25.7,46.3,162,"$25,000 - $34,999","$25,000 - $34,999",3
Montana,37.2,32.4,42.2,538,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,37.6,36.1,39.1,5301,"$75,000 or greater","$75,000 or greater",6
Rhode Island,28,22.9,33.8,508,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,40.7,35.4,46.3,612,"$50,000 - $74,999","$50,000 - $74,999",5
Colorado,37.9,35,40.8,1989,"$50,000 - $74,999","$50,000 - $74,999",5
Iowa,34.7,31.9,37.7,1382,"$50,000 - $74,999","$50,000 - $74,999",5
Missouri,30.5,26.4,34.8,778,"$25,000 - $34,999","$25,000 - $34,999",3
Alabama,30.8,25.7,36.4,547,"$35,000 - $49,999","$35,000 - $49,999",4
South Carolina,28.7,24.8,33,1110,"Less than $15,000","Less than $15,000",1
New Mexico,35.4,31.3,39.7,1095,"$15,000 - $24,999","$15,000 - $24,999",2
Nevada,41,36.7,45.5,1070,"$75,000 or greater","$75,000 or greater",6
Oregon,36.8,31.8,42.2,488,"$35,000 - $49,999","$35,000 - $49,999",4
South Carolina,28.3,23.6,33.6,481,"$15,000 - $24,999","$15,000 - $24,999",2
Tennessee,30.8,25.8,36.2,606,"$15,000 - $24,999","$15,000 - $24,999",2
Wisconsin,38,34.9,41.3,1590,"$75,000 or greater","$75,000 or greater",6
South Dakota,24.5,15.9,35.7,360,"Less than $15,000","Less than $15,000",1
Indiana,37.4,34.9,40,2018,"$75,000 or greater","$75,000 or greater",6
Oklahoma,30.8,26.5,35.5,631,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,27.8,23.1,33.1,451,"Less than $15,000","Less than $15,000",1
Kansas,37.7,35.6,39.8,3049,"$75,000 or greater","$75,000 or greater",6
Maryland,34.9,31,39,1260,"$15,000 - $24,999","$15,000 - $24,999",2
Minnesota,33.8,30.8,37,1530,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,24.2,19.9,29.1,452,"Less than $15,000","Less than $15,000",1
Massachusetts,37.4,31.5,43.7,497,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,31.6,26.4,37.3,411,"$35,000 - $49,999","$35,000 - $49,999",4
Vermont,41.5,38.2,45,1838,"$75,000 or greater","$75,000 or greater",6
Hawaii,35,29.7,40.7,604,"$25,000 - $34,999","$25,000 - $34,999",3
Wyoming,31.1,24.8,38.2,386,"$25,000 - $34,999","$25,000 - $34,999",3
Indiana,27,23.2,31.1,674,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,32.6,28.6,36.9,827,"$25,000 - $34,999","$25,000 - $34,999",3
Arizona,35.3,31.5,39.4,1261,"$15,000 - $24,999","$15,000 - $24,999",2
Nebraska,40.5,38.3,42.8,4054,"$75,000 or greater","$75,000 or greater",6
Hawaii,36.3,33.9,38.7,2662,"$75,000 or greater","$75,000 or greater",6
North Carolina,38.4,35.5,41.4,1476,"$75,000 or greater","$75,000 or greater",6
New Mexico,28,22.4,34.4,612,"$25,000 - $34,999","$25,000 - $34,999",3
New Jersey,37.6,35.7,39.6,3971,"$75,000 or greater","$75,000 or greater",6
South Dakota,39.4,30.5,49.2,774,"$15,000 - $24,999","$15,000 - $24,999",2
Ohio,33,29.1,37.2,1190,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,29.9,25.4,34.8,1483,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,36.7,32.2,41.4,673,"$50,000 - $74,999","$50,000 - $74,999",5
Delaware,32.2,25.3,39.9,360,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,29.7,25.7,34,806,"Less than $15,000","Less than $15,000",1
Colorado,33.4,29.9,37.1,942,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,37.4,32.8,42.3,687,"$50,000 - $74,999","$50,000 - $74,999",5
Wisconsin,34.5,29.2,40.3,573,"$15,000 - $24,999","$15,000 - $24,999",2
Idaho,37.3,31.4,43.5,511,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,30.5,24.9,36.8,757,"Less than $15,000","Less than $15,000",1
Virginia,36.7,34.4,39,3077,"$75,000 or greater","$75,000 or greater",6
New Hampshire,24.2,17.7,32.2,272,"Less than $15,000","Less than $15,000",1
Arizona,37.5,34.9,40.2,2515,"$75,000 or greater","$75,000 or greater",6
Utah,32.5,28.6,36.7,915,"$15,000 - $24,999","$15,000 - $24,999",2
California,29.7,24.5,35.5,416,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,34.8,29.2,40.9,535,"Less than $15,000","Less than $15,000",1
Mississippi,37.3,32,43,556,"$35,000 - $49,999","$35,000 - $49,999",4
Alaska,21.2,15.1,28.8,212,"Less than $15,000","Less than $15,000",1
New York,32.6,28.3,37.3,852,"Less than $15,000","Less than $15,000",1
Maine,35.4,31.5,39.4,1260,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,30.6,26.9,34.5,1056,"$15,000 - $24,999","$15,000 - $24,999",2
Illinois,39.6,33,46.6,392,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,35.9,33.8,38.2,3465,"$75,000 or greater","$75,000 or greater",6
Nebraska,30.8,27.5,34.4,1672,"$15,000 - $24,999","$15,000 - $24,999",2
Missouri,33.1,29.4,36.9,1130,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,25.7,18.2,34.8,192,"Less than $15,000","Less than $15,000",1
Delaware,32.5,25.3,40.5,306,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,36,31.5,40.8,855,"$50,000 - $74,999","$50,000 - $74,999",5
Iowa,30.6,27.2,34.2,966,"$15,000 - $24,999","$15,000 - $24,999",2
Michigan,37.8,35.2,40.5,2182,"$75,000 or greater","$75,000 or greater",6
New York,37,33.6,40.5,1507,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,39,35.1,43,998,"$75,000 or greater","$75,000 or greater",6
Nevada,31.2,23.7,39.7,262,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,34.1,27.6,41.1,533,"Less than $15,000","Less than $15,000",1
Louisiana,35.4,28.7,42.6,353,"$25,000 - $34,999","$25,000 - $34,999",3
Montana,27.9,22.7,33.9,370,"Less than $15,000","Less than $15,000",1
North Carolina,26,20.6,32.2,362,"Less than $15,000","Less than $15,000",1
Rhode Island,34.2,27.1,42.1,331,"$25,000 - $34,999","$25,000 - $34,999",3
Connecticut,32.3,27.6,37.2,828,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,32.7,28.7,37,719,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,42.3,35.6,49.4,488,"$50,000 - $74,999","$50,000 - $74,999",5
Maryland,36.6,31.7,41.8,874,"$25,000 - $34,999","$25,000 - $34,999",3
Oregon,32.7,27.1,38.9,365,"$25,000 - $34,999","$25,000 - $34,999",3
Wisconsin,37,30.8,43.6,488,"$25,000 - $34,999","$25,000 - $34,999",3
Illinois,25.4,20.1,31.4,391,"Less than $15,000","Less than $15,000",1
Nevada,33.5,26.1,41.7,293,"Less than $15,000","Less than $15,000",1
Maryland,37.4,35.6,39.3,5012,"$75,000 or greater","$75,000 or greater",6
North Dakota,39.6,36.3,42.9,1389,"$75,000 or greater","$75,000 or greater",6
Iowa,38.8,36.8,40.9,2900,"$75,000 or greater","$75,000 or greater",6
Wyoming,35.9,30,42.2,546,"$35,000 - $49,999","$35,000 - $49,999",4
New Mexico,37.7,32,43.7,751,"$35,000 - $49,999","$35,000 - $49,999",4
Rhode Island,36.9,33.3,40.6,1607,"$75,000 or greater","$75,000 or greater",6
Vermont,22.2,16.3,29.4,313,"Less than $15,000","Less than $15,000",1
Arkansas,28.2,23.8,33,791,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,38,32.5,43.8,470,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,31.6,27.2,36.4,773,"$15,000 - $24,999","$15,000 - $24,999",2
Oregon,39.3,36.4,42.3,1359,"$75,000 or greater","$75,000 or greater",6
Tennessee,34.2,27.6,41.5,358,"$25,000 - $34,999","$25,000 - $34,999",3
Alaska,30.8,22.6,40.3,232,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,35.6,32.2,39.2,1068,"$25,000 - $34,999","$25,000 - $34,999",3
New Jersey,30.1,24.3,36.6,503,"$25,000 - $34,999","$25,000 - $34,999",3
Colorado,29.6,24.9,34.8,468,"Less than $15,000","Less than $15,000",1
Texas,40.2,34.6,46,1054,"$35,000 - $49,999","$35,000 - $49,999",4
North Carolina,39.5,33.7,45.5,443,"$25,000 - $34,999","$25,000 - $34,999",3
Indiana,28.7,24.1,33.8,512,"Less than $15,000","Less than $15,000",1
Florida,36.2,31.1,41.6,1316,"$35,000 - $49,999","$35,000 - $49,999",4
Connecticut,36.2,33.8,38.6,3198,"$75,000 or greater","$75,000 or greater",6
Delaware,27.1,20.5,34.9,286,"Less than $15,000","Less than $15,000",1
South Carolina,24.3,18.8,30.8,313,"Less than $15,000","Less than $15,000",1
Oklahoma,24.7,19.5,30.8,325,"Less than $15,000","Less than $15,000",1
Georgia,37,32,42.3,907,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,28.1,20.2,37.6,294,"Less than $15,000","Less than $15,000",1
Utah,36,34.1,37.9,3894,"$75,000 or greater","$75,000 or greater",6
Wyoming,36.3,31.4,41.5,578,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,36.5,33.1,40,1374,"$35,000 - $49,999","$35,000 - $49,999",4
Arizona,32.6,27.7,38,752,"Less than $15,000","Less than $15,000",1
New Jersey,37.9,34.1,41.8,1022,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,39.2,36.5,41.9,1781,"$75,000 or greater","$75,000 or greater",6
Massachusetts,33.6,26.4,41.7,242,"Less than $15,000","Less than $15,000",1
Kansas,26.8,23.3,30.7,1016,"$15,000 - $24,999","$15,000 - $24,999",2
Ohio,29.7,26.8,32.7,1984,"$15,000 - $24,999","$15,000 - $24,999",2
New York,36.9,33.1,40.9,1223,"$35,000 - $49,999","$35,000 - $49,999",4
Colorado,34.9,31.9,38,1304,"$50,000 - $74,999","$50,000 - $74,999",5
Missouri,39.6,37,42.2,2236,"$75,000 or greater","$75,000 or greater",6
Wisconsin,39.5,34.7,44.4,744,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,19.6,14.9,25.3,558,"Less than $15,000","Less than $15,000",1
Virginia,35.9,32.1,39.9,1164,"$50,000 - $74,999","$50,000 - $74,999",5
Idaho,34.9,30,40.2,703,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,37.3,32.6,42.2,593,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,30.1,26.2,34.4,707,"$15,000 - $24,999","$15,000 - $24,999",2
Delaware,36.7,33,40.5,1069,"$75,000 or greater","$75,000 or greater",6
Indiana,27.5,24.2,30.9,988,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,45,39.4,50.6,1378,"$50,000 - $74,999","$50,000 - $74,999",5
Texas,32.3,25.8,39.7,981,"Less than $15,000","Less than $15,000",1
California,38.3,31.5,45.5,324,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,38.2,32.6,44.2,528,"$35,000 - $49,999","$35,000 - $49,999",4
Michigan,38,34.3,41.8,1010,"$50,000 - $74,999","$50,000 - $74,999",5
Utah,33.7,27.8,40.1,354,"Less than $15,000","Less than $15,000",1
Arizona,33.4,29.8,37.2,1261,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,32.7,27.7,38,645,"$50,000 - $74,999","$50,000 - $74,999",5
Nebraska,36.4,33.5,39.5,2319,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,34.8,30.6,39.3,1116,"$35,000 - $49,999","$35,000 - $49,999",4
Hawaii,35.8,32,39.9,1109,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,38.4,33.4,43.7,715,"$50,000 - $74,999","$50,000 - $74,999",5
New Hampshire,32,27.1,37.2,652,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,31.2,27.5,35.2,821,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,37.7,31.1,44.9,335,"$35,000 - $49,999","$35,000 - $49,999",4
Mississippi,27.6,23.3,32.3,621,"Less than $15,000","Less than $15,000",1
Vermont,32.8,27.9,38.1,775,"$15,000 - $24,999","$15,000 - $24,999",2
Kansas,34.9,31.6,38.3,1408,"$15,000 - $24,999","$15,000 - $24,999",2
Maryland,34.7,31.5,38.1,1635,"$50,000 - $74,999","$50,000 - $74,999",5
South Dakota,39.9,35.2,44.8,1612,"$75,000 or greater","$75,000 or greater",6
Maryland,33,29.4,36.8,1633,"$35,000 - $49,999","$35,000 - $49,999",4
Oregon,31.5,27.5,35.8,681,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,32.8,26.4,39.9,394,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,32.6,27.8,37.8,862,"$25,000 - $34,999","$25,000 - $34,999",3
North Dakota,31.5,25.1,38.8,333,"$25,000 - $34,999","$25,000 - $34,999",3
Virginia,34.4,29.5,39.5,686,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,37.6,34.7,40.6,1938,"$75,000 or greater","$75,000 or greater",6
Idaho,30.7,23.7,38.8,259,"Less than $15,000","Less than $15,000",1
Delaware,27.9,23.1,33.3,488,"$15,000 - $24,999","$15,000 - $24,999",2
South Dakota,37.5,31,44.4,929,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,40.7,38.2,43.2,2710,"$75,000 or greater","$75,000 or greater",6
Wyoming,41.1,35.9,46.4,724,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,34.7,30.6,39.1,768,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,31.2,24.5,38.8,329,"$35,000 - $49,999","$35,000 - $49,999",4
New Mexico,31,25.6,36.9,606,"Less than $15,000","Less than $15,000",1
New York,39.6,37.7,41.6,4383,"$75,000 or greater","$75,000 or greater",6
Maryland,33.5,29.7,37.5,1157,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,28.9,20.4,39.1,144,"Less than $15,000","Less than $15,000",1
Montana,33.4,29.9,37,914,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,30.3,26.4,34.4,1203,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,38,34.2,41.8,2374,"$75,000 or greater","$75,000 or greater",6
Minnesota,36.6,33.9,39.4,1714,"$35,000 - $49,999","$35,000 - $49,999",4
New Jersey,35,29.1,41.4,444,"Less than $15,000","Less than $15,000",1
West Virginia,34.7,31.6,38,1232,"$75,000 or greater","$75,000 or greater",6
Mississippi,34.5,30.2,39.1,724,"$50,000 - $74,999","$50,000 - $74,999",5
Missouri,37,33.5,40.8,1184,"$50,000 - $74,999","$50,000 - $74,999",5
Idaho,35.5,31,40.3,778,"$50,000 - $74,999","$50,000 - $74,999",5
Wyoming,29.3,21,39.3,171,"Less than $15,000","Less than $15,000",1
Connecticut,35.7,31.4,40.3,1015,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,33.3,28.3,38.7,599,"$50,000 - $74,999","$50,000 - $74,999",5
Kentucky,30.1,25.7,34.9,578,"$15,000 - $24,999","$15,000 - $24,999",2
Vermont,34.9,30.7,39.3,948,"$50,000 - $74,999","$50,000 - $74,999",5
Georgia,26.2,21.7,31.4,694,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,32.9,28.1,38.2,538,"$15,000 - $24,999","$15,000 - $24,999",2
Tennessee,30.6,25.5,36.2,510,"$35,000 - $49,999","$35,000 - $49,999",4
Oregon,34,29.2,39.2,533,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,37.5,32.6,42.7,844,"$50,000 - $74,999","$50,000 - $74,999",5
Washington,29.2,24.6,34.2,640,"Less than $15,000","Less than $15,000",1
Ohio,32.5,29.3,35.9,1622,"$35,000 - $49,999","$35,000 - $49,999",4
Wisconsin,29.5,21.2,39.4,239,"Less than $15,000","Less than $15,000",1
Oklahoma,33.4,29,38.1,674,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,27.3,21.8,33.6,431,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,32.8,28,38.1,1161,"$50,000 - $74,999","$50,000 - $74,999",5
New Jersey,35.3,31.1,39.8,756,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,35.3,27.5,44.1,325,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,27.5,23.4,31.9,989,"Less than $15,000","Less than $15,000",1
Kentucky,27.6,22,34.1,334,"Less than $15,000","Less than $15,000",1
Wisconsin,34.8,29.5,40.6,602,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,36.8,33.7,40,1510,"$50,000 - $74,999","$50,000 - $74,999",5
Pennsylvania,39.6,32.9,46.6,361,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,39.4,33,46.1,416,"$25,000 - $34,999","$25,000 - $34,999",3
Kentucky,36.3,32.6,40.2,944,"$75,000 or greater","$75,000 or greater",6
Arizona,35.6,31.6,39.8,1123,"$35,000 - $49,999","$35,000 - $49,999",4
Louisiana,35.8,32.6,39,1290,"$75,000 or greater","$75,000 or greater",6
New York,39,34.5,43.6,904,"$25,000 - $34,999","$25,000 - $34,999",3
Hawaii,36,31.6,40.6,877,"$35,000 - $49,999","$35,000 - $49,999",4
Kansas,29.4,24.1,35.4,458,"Less than $15,000","Less than $15,000",1
Washington,36.1,33,39.3,1650,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,29.8,26.1,33.9,824,"$35,000 - $49,999","$35,000 - $49,999",4
Mississippi,36.9,31.7,42.4,609,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,29.8,20.7,40.8,191,"$25,000 - $34,999","$25,000 - $34,999",3
Oklahoma,35.2,31.8,38.7,1087,"$75,000 or greater","$75,000 or greater",6
Delaware,31.4,26,37.4,469,"$50,000 - $74,999","$50,000 - $74,999",5
Connecticut,34.9,30.1,40.1,725,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,35.3,27.8,43.5,856,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,36.4,32.9,40.1,1040,"$75,000 or greater","$75,000 or greater",6
Rhode Island,34.2,28.6,40.4,526,"$35,000 - $49,999","$35,000 - $49,999",4
Colorado,33.6,30.1,37.3,974,"$35,000 - $49,999","$35,000 - $49,999",4
Iowa,34.1,29.9,38.5,664,"$25,000 - $34,999","$25,000 - $34,999",3
Alabama,25.6,20.8,31.1,475,"Less than $15,000","Less than $15,000",1
Massachusetts,32.4,27.2,38.1,517,"$35,000 - $49,999","$35,000 - $49,999",4
Vermont,31.7,25.1,39,644,"$15,000 - $24,999","$15,000 - $24,999",2
Virginia,37.6,33,42.3,920,"$35,000 - $49,999","$35,000 - $49,999",4
South Carolina,36,30.9,41.4,491,"$50,000 - $74,999","$50,000 - $74,999",5
Louisiana,30.1,25.5,35,599,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,32.1,28.8,35.5,1047,"$50,000 - $74,999","$50,000 - $74,999",5
California,38,31.8,44.6,412,"$35,000 - $49,999","$35,000 - $49,999",4
Alaska,37.8,33.8,41.9,1236,"$75,000 or greater","$75,000 or greater",6
South Carolina,29.8,24.5,35.7,431,"$35,000 - $49,999","$35,000 - $49,999",4
Nebraska,33.7,30.6,36.9,1882,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,31.7,27.5,36.3,659,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,38.6,35,42.3,1348,"$75,000 or greater","$75,000 or greater",6
North Carolina,34.6,30.3,39.2,655,"$50,000 - $74,999","$50,000 - $74,999",5
Florida,31.6,27.2,36.5,1773,"$15,000 - $24,999","$15,000 - $24,999",2
Maryland,35.2,30,40.7,667,"Less than $15,000","Less than $15,000",1
Oklahoma,31,26,36.5,444,"$25,000 - $34,999","$25,000 - $34,999",3
Delaware,29,23.3,35.5,376,"$35,000 - $49,999","$35,000 - $49,999",4
California,35.9,30.2,42,522,"$50,000 - $74,999","$50,000 - $74,999",5
Virginia,30.7,26.7,35.1,977,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,34.1,30.3,38.1,1126,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,36.8,33.5,40.2,1156,"$35,000 - $49,999","$35,000 - $49,999",4
Wyoming,40.7,37.2,44.4,1338,"$75,000 or greater","$75,000 or greater",6
Montana,36.3,32.2,40.7,751,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,37,31.7,42.6,563,"$50,000 - $74,999","$50,000 - $74,999",5
Minnesota,31.9,27.6,36.6,633,"Less than $15,000","Less than $15,000",1
Rhode Island,40.7,32.6,49.3,283,"Less than $15,000","Less than $15,000",1
New Mexico,37.7,33.3,42.4,1208,"$15,000 - $24,999","$15,000 - $24,999",2
Massachusetts,30.6,24.6,37.3,329,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,37.4,33.4,41.6,1052,"$35,000 - $49,999","$35,000 - $49,999",4
New Hampshire,33.4,27.7,39.5,533,"$15,000 - $24,999","$15,000 - $24,999",2
Hawaii,28.9,24.8,33.4,865,"$15,000 - $24,999","$15,000 - $24,999",2
Ohio,35.3,32.2,38.5,1799,"$50,000 - $74,999","$50,000 - $74,999",5
Vermont,35,29.6,40.8,703,"$35,000 - $49,999","$35,000 - $49,999",4
Colorado,37.8,36,39.7,3561,"$75,000 or greater","$75,000 or greater",6
Oregon,38,33.6,42.5,610,"$50,000 - $74,999","$50,000 - $74,999",5
North Dakota,45.8,39.5,52.2,498,"$35,000 - $49,999","$35,000 - $49,999",4
New Jersey,35.4,31.2,39.8,833,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,40.9,37.1,44.7,1544,"$75,000 or greater","$75,000 or greater",6
Wyoming,32.6,26.9,38.8,569,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,29.8,25,35.1,592,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,32.6,29.2,36.3,1108,"$35,000 - $49,999","$35,000 - $49,999",4
Kansas,35.6,32.7,38.6,1576,"$50,000 - $74,999","$50,000 - $74,999",5
Kentucky,32.6,26.1,39.8,311,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,38.4,30.2,47.2,273,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,31.2,25.7,37.3,420,"$25,000 - $34,999","$25,000 - $34,999",3
Arizona,36.3,31.6,41.2,769,"$25,000 - $34,999","$25,000 - $34,999",3
West Virginia,30.6,26.9,34.6,850,"$15,000 - $24,999","$15,000 - $24,999",2
Maine,34.5,29.7,39.7,853,"$25,000 - $34,999","$25,000 - $34,999",3
Louisiana,31.5,26.6,36.7,534,"$50,000 - $74,999","$50,000 - $74,999",5
Minnesota,37.8,35.4,40.2,2184,"$50,000 - $74,999","$50,000 - $74,999",5
Tennessee,25.8,19.9,32.8,362,"Less than $15,000","Less than $15,000",1
Wisconsin,28.3,22.3,35.2,382,"$25,000 - $34,999","$25,000 - $34,999",3
Maine,36.6,33.8,39.6,2235,"$75,000 or greater","$75,000 or greater",6
Mississippi,39.1,35.6,42.7,1105,"$75,000 or greater","$75,000 or greater",6
Illinois,35.2,28.5,42.4,348,"$15,000 - $24,999","$15,000 - $24,999",2
Mississippi,28.1,23.3,33.4,522,"$25,000 - $34,999","$25,000 - $34,999",3
Oregon,27,20.7,34.3,222,"Less than $15,000","Less than $15,000",1
Maine,35.2,32.4,38.1,2180,"$15,000 - $24,999","$15,000 - $24,999",2
Georgia,32.8,28.3,37.6,1206,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,32.2,28.8,35.9,944,"$35,000 - $49,999","$35,000 - $49,999",4
Texas,34,27.3,41.5,817,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,37.3,34.4,40.2,1829,"$75,000 or greater","$75,000 or greater",6
Michigan,33.7,28.7,39,582,"$25,000 - $34,999","$25,000 - $34,999",3
Nebraska,22.8,18.8,27.3,791,"Less than $15,000","Less than $15,000",1
New Jersey,34.9,28.9,41.5,530,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,37.5,33.1,42.2,769,"$75,000 or greater","$75,000 or greater",6
Louisiana,30.2,24.8,36.3,402,"Less than $15,000","Less than $15,000",1
South Dakota,34.8,27,43.5,597,"$25,000 - $34,999","$25,000 - $34,999",3
Utah,30.2,25.9,34.8,675,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,35,31.6,38.6,1260,"$35,000 - $49,999","$35,000 - $49,999",4
Alabama,38.9,35.6,42.3,1310,"$75,000 or greater","$75,000 or greater",6
Colorado,33.3,29,38,623,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,30.3,25.8,35.2,744,"$15,000 - $24,999","$15,000 - $24,999",2
Virginia,27.9,22.9,33.5,495,"Less than $15,000","Less than $15,000",1
